newid,newtime,dgsvi,dlnprice,vol,dunc
Aluminium,2011/1/7,,,0.3133841,
Aluminium,2011/1/14,19.72,-1.529419,0.6481946,48.49798
Aluminium,2011/1/21,-6.119999,0.1759644,1.147826,-18.12553
Aluminium,2011/1/28,-8.16,1.320923,2.014167,44.6367
Aluminium,2011/2/4,1.579998,1.656311,1.272124,5.830204
Aluminium,2011/2/11,9.84,-0.1708374,0.9249049,-61.05042
Aluminium,2011/2/18,9.84,0.0107422,0.3027591,-2.011135
Aluminium,2011/2/25,-9.02,0.2134399,1.203854,4.893613
Aluminium,2011/3/4,3.390003,1.680847,0.5874721,-24.71471
Aluminium,2011/3/11,12.74,-0.409668,0.3416747,8.717018
Aluminium,2011/3/18,0,0.6295776,0.5061098,-2.008191
Aluminium,2011/3/25,3.639999,-0.2303467,0.5013899,4.764432
Aluminium,2011/4/1,-23.85,-0.6521606,0.9693711,7.107696
Aluminium,2011/4/8,4.560001,3.545471,2.020509,94.8711
Aluminium,2011/4/15,-11.4,-1.003174,1.127264,-45.93474
Aluminium,2011/4/22,-12.92,3.029785,2.253372,-44.92418
Aluminium,2011/4/29,9.879999,-0.2098389,0.6668954,-14.82835
Aluminium,2011/5/6,10.07,-3.273621,0.640847,15.04962
Aluminium,2011/5/13,5.460003,0.4536743,1.176509,34.11492
Aluminium,2011/5/20,0,-3.13501,1.506559,-31.70916
Aluminium,2011/5/27,6.369999,1.328674,0.3537166,-17.72422
Aluminium,2011/6/3,-8.32,-1.116638,0.2980686,9.690777
Aluminium,2011/6/10,-0.7800026,-0.2120361,0.6760834,12.44228
Aluminium,2011/6/17,-9.359997,-0.7886963,0.9310874,10.52004
Aluminium,2011/6/24,-16.38,-1.194763,0.4008126,-46.64136
Aluminium,2011/7/1,0.3999996,0.8303223,1.695164,107.8954
Aluminium,2011/7/8,4.940001,-1.144836,1.322142,-15.84052
Aluminium,2011/7/15,-5.320002,-1.125183,1.146781,-52.87176
Aluminium,2011/7/22,0,4.079163,1.154415,52.52528
Aluminium,2011/7/29,3.040001,0.881958,0.5366405,-78.9129
Aluminium,2011/8/5,-4.639999,-6.09906,0.8421575,74.19803
Aluminium,2011/8/12,-3.1,1.718506,0.2032855,-40.43761
Aluminium,2011/8/19,13.02,-0.3939819,1.048302,-3.629661
Aluminium,2011/8/26,2.48,0.8081665,0.6974618,-19.60283
Aluminium,2011/9/2,13.02,0.9525757,1.25934,28.06267
Aluminium,2011/9/9,-9.350002,-1.410461,1.17867,21.00137
Aluminium,2011/9/16,5.950001,0.8161621,0.5904764,-52.72399
Aluminium,2011/9/23,4.25,-4.420532,1.893933,100.7205
Aluminium,2011/9/30,0.8500023,-1.921387,1.296736,-51.04311
Aluminium,2011/10/7,1.699997,1.842041,2.001763,-3.154188
Aluminium,2011/10/14,1.700001,-0.5456543,1.051218,-13.88482
Aluminium,2011/10/21,11.9,-3.585693,1.856232,4.13605
Aluminium,2011/10/28,-12.75,3.437439,1.417006,7.746732
Aluminium,2011/11/4,4.049999,-4.673767,2.286148,-33.68806
Aluminium,2011/11/11,1,-0.4796143,0.716079,8.628541
Aluminium,2011/11/18,1,-2.433228,1.144864,14.20031
Aluminium,2011/11/25,11,-5.401917,0.8296568,-14.19222
Aluminium,2011/12/2,-27.92,3.311279,1.228753,-8.386254
Aluminium,2011/12/9,-7.68,-2.341125,0.4937626,-2.404171
Aluminium,2011/12/16,-16,-1.923584,1.469121,23.92836
Aluminium,2011/12/23,-3.199999,-0.4735718,1.021753,-35.10257
Aluminium,2011/12/30,-1.92,3.930176,1.242025,92.30302
Aluminium,2012/1/6,24.93,1.184631,1.589939,-50.72243
Aluminium,2012/1/13,2.52,3.4599,1.531941,-10.3694
Aluminium,2012/1/20,0.6300011,0.3623657,1.569552,40.89948
Aluminium,2012/1/27,0,1.89917,1.285178,-32.69771
Aluminium,2012/2/3,-2.440002,2.338745,1.537217,29.87865
